Pays ou territoire de résidence,uniquement de nationalité suisse,possédant plusieurs nationalités
<strong>Total</strong>,25.29393692,74.70606308
,,
France,18.65716999,81.34283001
Allemagne,32.80042791,67.19957209
États-Unis,22.24797767,77.75202233
Italie,14.70067911,85.29932089
Canada,18.72242471,81.27757529
Royaume-Uni,30.83122551,69.16877449
Espagne,41.00987925,58.99012075
Australie,17.81274646,82.18725354
Israël,14.36586265,85.63413735
Autriche,41.05680176,58.94319824
Argentine,5.40683806,94.59316194
Brésil,16.80151615,83.19848385
Thaïlande,62.6011722,37.3988278
Pays-Bas,30.60671723,69.39328277
Belgique,28.31757603,71.68242397
Afrique du Sud,25.49275551,74.50724449
Portugal,36.43522772,63.56477228
Nouvelle-Zélande,24.05474997,75.94525003
Suède,37.60105836,62.39894164
Chili,7.745603127,92.25439687
