Année;UE;AELE;Europe hors UE/AELE;Afrique;Amérique;Asie;Océanie
1993;283141;6290;23188;16678;136891;17138;20851
1994;288533;6358;23632;16931;139642;18330;21457
1995;294749;6471;25036;16650;142967;19845;22077
1996;301312;6696;26003;16898;146398;21217;22778
1997;307336;6366;26961;17061;148718;22410;23441
1998;312968;5864;27555;17286;151879;23145;24116
1999;319054;5886;28296;17311;154147;23570;24693
2000;324256;5902;28731;17467;154769;24167;25104
2001;331704;5860;29284;17495;156971;24840;25506
2002;337257;5824;29710;17454;157454;25404;25831
2003;345604;5713;30408;17602;159830;26847;26558
2004;351796;5677;31173;17754;161246;28388;27023
2005;358287;5716;31412;18017;163043;30378;27363
2006;364104;5768;32709;18380;163981;32315;27753
2007;375355;5808;34130;19270;169254;35673;28617
2008;377846;5800;34914;19477;171082;37863;29194
2009;381950;5808;35733;19630;172553;39670;29630
2010;387072;5910;36714;20008;173960;41466;29993
2011;391732;5924;37740;20063;174427;43327;30327
2012;397753;6002;39063;20696;175756;45792;30648
2013;406262;6135;40765;21218;178349;48359;31095
2014;413564;6204;42482;21484;180838;50592;31721
2015;421799;6269;44336;21585;183500;52409;32032
2016;429124;6388;46892;21584;184822;53814;32299
2017;417185;5652;46040;19542;179320;52007;32047
2018;422401;6089;47606;19436;179800;52558;32343
2019;428405;6397;49455;19330;180893;53615;32776
2020;433749;6696;50402;18769;180618;53063;32999
2021;442371;7200;52062;18653;181044;53440;33198
2022;450137;7549;53240;18723;182300;54562;33530
2023;458166;8042;54521;18680;183827;56267;33917
2024;466029;8551;55947;18765;185110;58109;34197
2025;472561;8998;57075;18874;186731;59856;34527
